2021-11-09 10:14:36 INFO  Principal:11 - TESTE
2021-11-09 13:46:15 INFO  Principal:15 - ########## INICIO DO BACKEND ##########
2021-11-09 13:46:24 INFO  Principal:15 - ########## INICIO DO BACKEND ##########
2021-11-09 13:49:02 INFO  Principal:15 - ########## INICIO DO BACKEND ##########
2021-11-09 13:50:20 INFO  Principal:17 - ########## INICIO DO BACKEND ##########
2021-11-09 13:50:20 INFO  PerguntasERespostas:14 - #### PERGUNTAS IPERSON ####
2021-11-09 13:50:20 INFO  PerguntasERespostas:17 - PERGUNTA 1: Nos desafios da sua vida, você resolve com ousadia?
2021-11-09 14:04:56 INFO  Principal:17 - ########## INICIO DO BACKEND ##########
2021-11-09 14:14:25 INFO  Principal:17 - ########## INICIO DO BACKEND ##########
2021-11-09 14:14:25 INFO  PerguntasERespostas:19 - #### PERGUNTAS IPERSON ####
2021-11-09 14:14:25 INFO  PerguntasERespostas:39 - PERGUNTA 1: Você se considera uma pessoa responsável com as suas tarefas do dia a dia?Ter empatia com as outras pessoas é importante para você?Você tem o costume de fazer planos a longo prazo na sua vida?Você acredita que sua autoconfiança seja alta o suficiente para realizar os seus sonhos?Você é um pessoa que gosta de ter experiências novas? Você consegue se adaptar facilmente em diferentes ambientes, atividades ou situações?Você ajuda as pessoas sem esperar nada em troca?No dia a dia você tem curiosidade por coisas novas?Se tivesse a oportunidade você teria coragem de arriscar a sua vida profissionalmente? Você se considera uma pessoa empolgada com suas execuções?Você se socializa facilmente com as pessoas?Você é uma pessoa capaz de compreender facilmente algo que os demais não conseguem?Você se considera uma pessoa com âmbito de liderança?Você é uma pessoa que se auxilia em ajudar sem precisar que os outros perguntem?Ser um líder carismático é importante para você?Nos desafios da sua vida, você resolve com ousadia?
2021-11-09 14:24:28 INFO  Principal:17 - ########## INICIO DO BACKEND ##########
2021-11-09 14:24:28 INFO  PerguntasERespostas:20 - #### PERGUNTAS IPERSON ####
2021-11-09 14:24:28 INFO  PerguntasERespostas:23 - PERGUNTA 1: Você se considera uma pessoa responsável com as suas tarefas do dia a dia?
2021-11-09 14:38:42 INFO  Principal:17 - ########## INICIO DO BACKEND ##########
2021-11-09 14:38:42 INFO  PerguntasERespostas:23 - #### PERGUNTAS IPERSON ####
2021-11-09 14:38:42 INFO  PerguntasERespostas:26 - PERGUNTA 1: Você se considera uma pessoa responsável com as suas tarefas do dia a dia?
2021-11-09 14:40:25 INFO  Principal:17 - ########## INICIO DO BACKEND ##########
2021-11-09 14:40:25 INFO  PerguntasERespostas:23 - #### PERGUNTAS IPERSON ####
2021-11-09 14:40:25 INFO  PerguntasERespostas:26 - PERGUNTA 1: Você se considera uma pessoa responsável com as suas tarefas do dia a dia?
2021-11-09 14:40:29 INFO  PerguntasERespostas:29 - RESPOSTA: 
2021-11-09 14:40:42 INFO  Principal:17 - ########## INICIO DO BACKEND ##########
2021-11-09 14:40:42 INFO  PerguntasERespostas:23 - #### PERGUNTAS IPERSON ####
2021-11-09 14:40:42 INFO  PerguntasERespostas:26 - PERGUNTA 1: Você se considera uma pessoa responsável com as suas tarefas do dia a dia?
2021-11-09 14:40:42 INFO  PerguntasERespostas:28 - RESPOSTA: 
